thumb,index,middle,ring,pinkie,accx1,accy1,accz1,gx1,gy1,gz1,accx2,accy2,accz2,gx2,gy2,gz2,anillo,label
393.0,312.0,344.0,322.0,313.0,16492.0,-4208.0,1616.0,-1191.0,-5540.0,-2749.0,-2824.0,-1624.0,15024.0,-3121.0,15682.0,2942.0,1.0,A
395.0,262.0,287.0,289.0,255.0,16844.0,-3696.0,-684.0,54.0,278.0,-2249.0,-10872.0,-2004.0,13288.0,-1956.0,11783.0,4085.0,1.0,A
393.0,218.0,249.0,271.0,222.0,16348.0,-1864.0,1380.0,-2370.0,2908.0,-814.0,-12976.0,-308.0,9316.0,299.0,5472.0,3071.0,1.0,A
390.0,207.0,241.0,267.0,213.0,16600.0,-2824.0,2240.0,-672.0,889.0,574.0,-14576.0,132.0,7764.0,-2335.0,-1160.0,-590.0,1.0,A
388.0,206.0,242.0,264.0,212.0,17092.0,-1512.0,904.0,-143.0,-758.0,-1123.0,-13328.0,-344.0,8076.0,-444.0,453.0,245.0,1.0,A
387.0,208.0,244.0,265.0,216.0,16996.0,-2092.0,1752.0,474.0,-419.0,-953.0,-13388.0,-460.0,7856.0,-1123.0,-135.0,1131.0,1.0,A
386.0,211.0,246.0,267.0,218.0,16776.0,-1332.0,756.0,976.0,-143.0,-1616.0,-13020.0,28.0,8344.0,20.0,-356.0,205.0,1.0,A
384.0,213.0,250.0,269.0,221.0,16680.0,-936.0,1784.0,271.0,254.0,-92.0,-13368.0,444.0,8116.0,-1039.0,139.0,388.0,1.0,A
384.0,216.0,253.0,270.0,225.0,16716.0,-884.0,1548.0,869.0,540.0,-190.0,-12804.0,-296.0,8252.0,79.0,850.0,424.0,1.0,A
383.0,217.0,256.0,271.0,227.0,17052.0,-540.0,1988.0,-822.0,1254.0,130.0,-13364.0,604.0,8220.0,792.0,242.0,434.0,1.0,A
382.0,218.0,257.0,271.0,227.0,16656.0,-468.0,2660.0,-801.0,1109.0,38.0,-13740.0,1532.0,7376.0,1931.0,1566.0,327.0,1.0,A
381.0,219.0,258.0,271.0,226.0,16612.0,-1088.0,2664.0,-1619.0,1670.0,283.0,-14016.0,2732.0,6664.0,1549.0,491.0,12.0,1.0,A
381.0,220.0,259.0,271.0,227.0,16804.0,-1224.0,5104.0,-2392.0,129.0,-206.0,-14168.0,2212.0,6780.0,666.0,-456.0,-358.0,1.0,A
380.0,222.0,260.0,272.0,228.0,16468.0,-220.0,3472.0,-1519.0,596.0,-749.0,-13356.0,2688.0,7324.0,-210.0,-526.0,68.0,1.0,A
378.0,222.0,260.0,273.0,230.0,16288.0,-1188.0,4424.0,-404.0,-895.0,-344.0,-13440.0,2680.0,7620.0,-471.0,-810.0,-1698.0,1.0,A
378.0,223.0,261.0,274.0,232.0,16740.0,312.0,1472.0,-31.0,-1297.0,1589.0,-13956.0,1244.0,6828.0,-584.0,947.0,445.0,1.0,A
377.0,223.0,262.0,274.0,232.0,17000.0,-1232.0,2916.0,-462.0,73.0,-293.0,-13364.0,1272.0,7204.0,358.0,-177.0,-197.0,1.0,A
